Date,Price
09-04-2019,1851
10-04-2019,1852
11-04-2019,1847.5
12-04-2019,1843.5
15-04-2019,1843.5
16-04-2019,1839
17-04-2019,1840.5
18-04-2019,1839
23-04-2019,1855
24-04-2019,1854
25-04-2019,1852
26-04-2019,1832
29-04-2019,1816
30-04-2019,1809
01-05-2019,1775.5
02-05-2019,1800.5
03-05-2019,1783.5
07-05-2019,1767
08-05-2019,1761
09-05-2019,1766.5
10-05-2019,1765
13-05-2019,1765.5
14-05-2019,1792
15-05-2019,1802
16-05-2019,1832
17-05-2019,1805
20-05-2019,1786
21-05-2019,1766
22-05-2019,1747
23-05-2019,1740
24-05-2019,1761.5
28-05-2019,1773
29-05-2019,1770
30-05-2019,1762
31-05-2019,1761
03-06-2019,1763.5
04-06-2019,1751.5
05-06-2019,1766
06-06-2019,1742.5
07-06-2019,1733
10-06-2019,1720.5
11-06-2019,1754.5
12-06-2019,1753.5
13-06-2019,1756
14-06-2019,1737.5
17-06-2019,1719.5
18-06-2019,1733
19-06-2019,1746.5
20-06-2019,1778
21-06-2019,1743.5
24-06-2019,1747.5
25-06-2019,1776.5
26-06-2019,1803
27-06-2019,1782
28-06-2019,1773.5
01-07-2019,1778
02-07-2019,1755.5
03-07-2019,1754.5
04-07-2019,1771.5
05-07-2019,1779.5
08-07-2019,1783
09-07-2019,1783
10-07-2019,1811.5
11-07-2019,1807
12-07-2019,1799.5
15-07-2019,1810
16-07-2019,1818
17-07-2019,1819
18-07-2019,1827.5
19-07-2019,1833
22-07-2019,1808
23-07-2019,1795
24-07-2019,1795.5
25-07-2019,1795.5
26-07-2019,1778
29-07-2019,1774.5
30-07-2019,1781.5
31-07-2019,1776.5
01-08-2019,1757
02-08-2019,1749
05-08-2019,1739.5
06-08-2019,1740.5
07-08-2019,1728
08-08-2019,1737.5
09-08-2019,1746
12-08-2019,1743
13-08-2019,1731
14-08-2019,1741
15-08-2019,1742.5
16-08-2019,1755.5
19-08-2019,1762.5
20-08-2019,1756.5
21-08-2019,1751
22-08-2019,1739
23-08-2019,1746
27-08-2019,1744
28-08-2019,1724
29-08-2019,1713.5
30-08-2019,1712.5
02-09-2019,1716.5
03-09-2019,1714.5
04-09-2019,1734.5
05-09-2019,1754.5
06-09-2019,1761.5
09-09-2019,1769
10-09-2019,1776
11-09-2019,1792.5
12-09-2019,1774
13-09-2019,1768
16-09-2019,1770.5
17-09-2019,1746.5
18-09-2019,1751
19-09-2019,1762.5
20-09-2019,1766
23-09-2019,1756
24-09-2019,1751.5
25-09-2019,1736
26-09-2019,1724
27-09-2019,1713
30-09-2019,1703.5
01-10-2019,1705.5
02-10-2019,1697
03-10-2019,1697
04-10-2019,1701.5
07-10-2019,1713
08-10-2019,1732
09-10-2019,1729
10-10-2019,1738
11-10-2019,1721
14-10-2019,1704.5
15-10-2019,1702
16-10-2019,1703.5
17-10-2019,1726
18-10-2019,1729
21-10-2019,1735.5
22-10-2019,1707.5
23-10-2019,1712
24-10-2019,1715
25-10-2019,1710.5
28-10-2019,1727
29-10-2019,1737.5
30-10-2019,1746.5
31-10-2019,1742.5
01-11-2019,1766
