Date,Price
14-06-2019,104.33
17-06-2019,104.17
18-06-2019,105.79
19-06-2019,106.2
20-06-2019,107.21
21-06-2019,107.54
24-06-2019,108.99
25-06-2019,107.93
26-06-2019,109.19
27-06-2019,108.72
28-06-2019,109.18
01-07-2019,119.45
02-07-2019,123.19
03-07-2019,123.16
05-07-2019,117.1
08-07-2019,119.17
09-07-2019,121.35
10-07-2019,120.84
11-07-2019,120.32
12-07-2019,120.25
15-07-2019,121.18
16-07-2019,121.19
17-07-2019,121.14
18-07-2019,120.87
19-07-2019,120.99
22-07-2019,120.01
23-07-2019,120.42
24-07-2019,120.25
25-07-2019,120.09
26-07-2019,120.11
29-07-2019,120.02
30-07-2019,120.09
31-07-2019,120.02
01-08-2019,112.02
02-08-2019,106.51
05-08-2019,100.34
06-08-2019,99.51
07-08-2019,96.56
08-08-2019,97.37
09-08-2019,93.61
12-08-2019,95.01
13-08-2019,95.11
14-08-2019,95.71
15-08-2019,93.76
16-08-2019,93.61
19-08-2019,94.36
20-08-2019,94.02
21-08-2019,92.01
22-08-2019,92.73
23-08-2019,92.88
26-08-2019,92.45
27-08-2019,92.06
28-08-2019,91.63
29-08-2019,91.16
30-08-2019,90.91
03-09-2019,89.55
04-09-2019,91.57
05-09-2019,90.72
06-09-2019,89.44
09-09-2019,91.23
10-09-2019,91.37
11-09-2019,92.34
12-09-2019,94.14
13-09-2019,94.77
16-09-2019,94.37
17-09-2019,94.03
18-09-2019,93.97
19-09-2019,93.46
20-09-2019,93.38
23-09-2019,93.49
24-09-2019,93.21
25-09-2019,92.97
26-09-2019,92.95
27-09-2019,92.89
30-09-2019,92.91
01-10-2019,92.16
02-10-2019,92.26
03-10-2019,92.26
04-10-2019,92.18
07-10-2019,92.55
08-10-2019,93.53
09-10-2019,91.59
10-10-2019,93.01
11-10-2019,92.86
14-10-2019,92.23
15-10-2019,92.62
16-10-2019,91.4
17-10-2019,90.01
18-10-2019,90.76
21-10-2019,90.58
22-10-2019,90.53
23-10-2019,90.45
24-10-2019,90.11
25-10-2019,90.22
28-10-2019,90.23
29-10-2019,90.03
30-10-2019,89.8
31-10-2019,89.55
01-11-2019,83.55
04-11-2019,82.85
05-11-2019,82.85
06-11-2019,82.98
07-11-2019,82.55
08-11-2019,80.36
11-11-2019,80.3
12-11-2019,81.36
13-11-2019,81.26
14-11-2019,82.52
15-11-2019,82.8
18-11-2019,82.93
19-11-2019,83.19
20-11-2019,83.35
21-11-2019,83.55
22-11-2019,83.79
25-11-2019,84.29
26-11-2019,84.35
27-11-2019,84.42
29-11-2019,84.68
02-12-2019,88.11
03-12-2019,87.65
04-12-2019,88.27
05-12-2019,88.34
06-12-2019,88.56
09-12-2019,92.04
10-12-2019,91.36
11-12-2019,92.05
12-12-2019,92.04
13-12-2019,92.27
16-12-2019,92.1
17-12-2019,92.09
18-12-2019,91.99
19-12-2019,92
20-12-2019,91.74
23-12-2019,91.72
24-12-2019,91.7
26-12-2019,91.61
27-12-2019,91.55
30-12-2019,91.52
31-12-2019,91.53
02-01-2020,92.58
03-01-2020,93.41
06-01-2020,93.85
07-01-2020,93.73
08-01-2020,94.61
09-01-2020,93.57
10-01-2020,93.56
13-01-2020,94.03
14-01-2020,94.83
15-01-2020,94.59
16-01-2020,94.55
17-01-2020,94.81
21-01-2020,94.8
22-01-2020,94.76
23-01-2020,94.4
24-01-2020,94.35
27-01-2020,94.01
28-01-2020,93.6
29-01-2020,93.34
30-01-2020,92.9
31-01-2020,92.44
03-02-2020,78.33
04-02-2020,81.63
05-02-2020,79.87
06-02-2020,80.96
07-02-2020,81.65
10-02-2020,81.25
11-02-2020,83.36
12-02-2020,84.47
13-02-2020,85.14
14-02-2020,84.86
18-02-2020,85.43
19-02-2020,85.7
20-02-2020,86.15
21-02-2020,86.42
24-02-2020,86.56
25-02-2020,86.73
26-02-2020,86.67
27-02-2020,86.58
28-02-2020,86.46
02-03-2020,87.1
03-03-2020,87.14
04-03-2020,89.63
05-03-2020,90.12
06-03-2020,89.18
09-03-2020,88.07
10-03-2020,90.15
11-03-2020,89.59
12-03-2020,89.48
13-03-2020,90.13
16-03-2020,89.99
17-03-2020,89.95
18-03-2020,90.44
19-03-2020,89.97
20-03-2020,89.57
23-03-2020,88.55
24-03-2020,88.46
25-03-2020,88.77
26-03-2020,88.6
27-03-2020,88.49
30-03-2020,88.22
31-03-2020,88.02
01-04-2020,80.34
02-04-2020,81.73
03-04-2020,82.38
06-04-2020,82.49
07-04-2020,81.9
08-04-2020,82.87
09-04-2020,83.35
13-04-2020,83.84
14-04-2020,84.25
15-04-2020,84.22
16-04-2020,84.04
17-04-2020,84.17
20-04-2020,84.43
21-04-2020,83.92
22-04-2020,84.13
23-04-2020,84.04
24-04-2020,83.98
27-04-2020,83.96
28-04-2020,83.88
29-04-2020,83.83
30-04-2020,83.84
01-05-2020,82.5
04-05-2020,82.15
05-05-2020,83.06
06-05-2020,83.29
07-05-2020,85.93
08-05-2020,86.84
11-05-2020,86.69
12-05-2020,87.81
13-05-2020,88.35
14-05-2020,88.74
15-05-2020,89.5
18-05-2020,91.49
19-05-2020,90.65
20-05-2020,91.13
21-05-2020,91.2
22-05-2020,91.42
26-05-2020,91.64
27-05-2020,91.81
28-05-2020,92.05
29-05-2020,92.54
01-06-2020,99.16
02-06-2020,100.67
03-06-2020,100.4
04-06-2020,98.85
05-06-2020,100.26
08-06-2020,103.41
09-06-2020,102.98
10-06-2020,102.89
11-06-2020,102.75
12-06-2020,103.59
15-06-2020,103.07
16-06-2020,103.46
17-06-2020,103.18
18-06-2020,103.05
19-06-2020,103.04
22-06-2020,102.93
23-06-2020,102.85
24-06-2020,103.12
25-06-2020,103.08
26-06-2020,103.23
29-06-2020,103.06
30-06-2020,102.95
01-07-2020,98.01
02-07-2020,98.94
06-07-2020,101.54
07-07-2020,103.04
08-07-2020,105.03
09-07-2020,104.61
10-07-2020,105.59
13-07-2020,106.93
14-07-2020,107.45
15-07-2020,107.57
16-07-2020,107.2
17-07-2020,107.22
20-07-2020,107.18
21-07-2020,107.58
22-07-2020,108.04
23-07-2020,107.78
24-07-2020,107.69
27-07-2020,107.46
28-07-2020,107.72
29-07-2020,107.88
30-07-2020,108.05
31-07-2020,108.9
03-08-2020,114.21
04-08-2020,115.55
05-08-2020,116.27
06-08-2020,118.89
07-08-2020,118.07
10-08-2020,118.34
11-08-2020,119.28
12-08-2020,120.19
13-08-2020,119.86
14-08-2020,120.14
17-08-2020,120.46
18-08-2020,122.75
19-08-2020,122.47
20-08-2020,123.74
21-08-2020,122.79
24-08-2020,122.57
25-08-2020,122.34
26-08-2020,122.46
27-08-2020,122.39
28-08-2020,122.45
31-08-2020,122.53
01-09-2020,123.68
02-09-2020,126.06
03-09-2020,128.38
04-09-2020,127.53
08-09-2020,128.03
09-09-2020,126.78
10-09-2020,126.77
11-09-2020,127.43
14-09-2020,128.86
15-09-2020,128.01
16-09-2020,126.01
17-09-2020,126.59
18-09-2020,127.09
21-09-2020,126.01
22-09-2020,125.73
23-09-2020,124.79
24-09-2020,123.97
25-09-2020,123.81
28-09-2020,124.21
29-09-2020,124.02
30-09-2020,123.98
01-10-2020,121.43
02-10-2020,120.6
05-10-2020,121.03
06-10-2020,121.84
07-10-2020,121.91
08-10-2020,122.46
09-10-2020,123.49
12-10-2020,123.25
13-10-2020,122.43
14-10-2020,121.48
15-10-2020,121.13
16-10-2020,121.44
19-10-2020,121.53
20-10-2020,121.51
21-10-2020,121.56
22-10-2020,121.34
23-10-2020,121.02
26-10-2020,120.75
27-10-2020,120.63
28-10-2020,120.45
29-10-2020,120.28
30-10-2020,120.19
02-11-2020,117.69
03-11-2020,116.47
